Query,GPT-4's response
Can FFmpeg stabilize shaky video footage?,"Install ffmpeg with vidstab support and use:

ffmpeg -i input.mp4 -vf vidstabdetect=shakiness=10:accuracy=15 transform_vectors.trf
ffmpeg -i input.mp4 -vf vidstabtransform=smoothing=30:input=transform_vectors.trf output.mp4"
How do I perform video stabilization in FFmpeg with default parameters?,"ffmpeg -i input.mp4 -vf vidstabdetect -f null -
ffmpeg -i input.mp4 -vf vidstabtransform -c:v libx264 -preset slow -crf 18 output_stabilized.mp4
"
Can I stabilize video and crop black borders automatically in Ffmpeg?,"ffmpeg -i input.mp4 -vf vidstabdetect=shakiness=5:accuracy=15 -f null -
ffmpeg -i input.mp4 -vf ""vidstabtransform=smoothing=30,unsharp=5:5:0.8:3:3:0.4"" -c:v libx264 -preset slow -crf 18 output_stabilized_sharpened.mp4
"
How can I stabilize a video and zoom in slightly to hide black edges using Ffmpeg?,"ffmpeg -i input.mp4 -vf vidstabdetect=shakiness=5:accuracy=15 -f null -
ffmpeg -i input.mp4 -vf ""vidstabtransform=smoothing=30,scale=iw*1.05:ih*1.05"" -c:v libx264 -preset slow -crf 18 output_stabilized_zoomed.mp4
"
How do I flip a video horizontally using FFmpeg?,ffmpeg -i input.mp4 -vf hflip output.mp4
How do I flip a video vertically using Ffmpeg?,"ffmpeg -i input.mp4 -vf ""vflip"" output_vflip.mp4
"
 How can I mirror a video both horizontally and vertically with Ffmpeg?,"ffmpeg -i input.mp4 -vf ""hflip,vflip"" output_flipped_both.mp4
"
How do I rotate and then flip a video horizontally using Ffmpeg?,"ffmpeg -i input.mp4 -vf ""transpose=1,hflip"" output_rotated_hflip.mp4
"
How can I adjust the bitrate for video encoding in FFmpeg?,"ffmpeg -i input.mp4 -b:v 1M output.mp4

Replace 1M with the desired bitrate."
How do I set a constant bitrate of 500 kbps for video encoding in Ffmpeg?,"ffmpeg -i input.mp4 -b:v 500k output_500kbps.mp4
"
How can I specify a target bitrate and maximum bitrate for video encoding in Ffmpeg?,"ffmpeg -i input.mp4 -b:v 1M -maxrate 1.5M -bufsize 2M output_vbr.mp4
"
How do I use CRF mode instead of bitrate to control quality in Ffmpeg?,"ffmpeg -i input.mp4 -c:v libx264 -crf 23 output_crf.mp4
"
What are the options for controlling video quality in FFmpeg?,"Use CRF for quality control:

ffmpeg -i input.mp4 -c:v libx264 -crf 23 output.mp4"
How do I use CRF to balance quality and file size in Ffmpeg?,"ffmpeg -i input.mp4 -c:v libx264 -crf 20 -preset medium output.mp4
"
How can I do two-pass encoding for better video quality control in Ffmpeg?,"ffmpeg -y -i input.mp4 -c:v libx264 -b:v 3M -pass 1 -f null /dev/null
ffmpeg -i input.mp4 -c:v libx264 -b:v 3M -pass 2 output.mp4
"
What presets are available in FFmpeg’s x264 encoder to affect quality and encoding speed?,"ffmpeg -i input.mp4 -c:v libx264 -preset veryslow output.mp4
"
How do I apply compression presets for faster encoding with FFmpeg?,ffmpeg -i input.mp4 -preset faster output.mp4
What is the fastest encoding preset I can use in FFmpeg for x264?,"ffmpeg -i input.mp4 -c:v libx264 -preset ultrafast output.mp4
"
How do I choose a slower preset for better compression but slower encoding in Ffmpeg?,"ffmpeg -i input.mp4 -c:v libx264 -preset veryslow output.mp4
"
Can I combine presets with CRF to get a good balance of speed and quality?,"ffmpeg -i input.mp4 -c:v libx264 -preset medium -crf 23 output.mp4
"
How do I enable two-pass encoding in FFmpeg for better quality?,"Pass 1:

ffmpeg -y -i input.mp4 -c:v libx264 -b:v 1M -pass 1 -an -f mp4 /dev/null

Pass 2:

ffmpeg -i input.mp4 -c:v libx264 -b:v 1M -pass 2 output.mp4"
How do I do two-pass encoding with a different codec like libx265?,"ffmpeg -y -i input.mp4 -c:v libx265 -b:v 2M -pass 1 -f null /dev/null
ffmpeg -i input.mp4 -c:v libx265 -b:v 2M -pass 2 output.mp4
"
How do I specify log files for two-pass encoding in Ffmpeg?,"ffmpeg -y -i input.mp4 -c:v libx264 -b:v 2M -pass 1 -passlogfile ffmpeg2pass -f null /dev/null
ffmpeg -i input.mp4 -c:v libx264 -b:v 2M -pass 2 -passlogfile ffmpeg2pass output.mp4
"
Can two-pass encoding be used with audio copying in Ffmpeg?,"ffmpeg -y -i input.mp4 -c:v libx264 -b:v 2M -pass 1 -an -f null /dev/null
ffmpeg -i input.mp4 -c:v libx264 -b:v 2M -pass 2 -c:a copy output.mp4
"
Can I use hardware acceleration for encoding with FFmpeg?,"Example for NVIDIA GPUs:

ffmpeg -i input.mp4 -c:v h264_nvenc output.mp4"
How do I use Intel QuickSync hardware acceleration for encoding in Ffmpeg?,ffmpeg -hwaccel qsv -i input.mp4 -c:v h264_qsv output_qsv.mp4
Can FFmpeg encode using AMD’s hardware acceleration (AMF)?,ffmpeg -i input.mp4 -c:v h264_amf output_amf.mp4
How do I check if my FFmpeg build supports NVENC hardware encoding?,"ffmpeg -encoders | grep nvenc
"
How do I add a watermark to a video using FFmpeg?,"ffmpeg -i input.mp4 -i watermark.png -filter_complex ""overlay=10:10"" output.mp4"
How do I add a semi-transparent watermark to a video with Ffmpeg?,"ffmpeg -i input.mp4 -i watermark.png -filter_complex ""overlay=10:10:format=auto,format=yuv420p"" -c:a copy output.mp4
"
How can I place a watermark at the bottom-right corner using Ffmpeg?,"ffmpeg -i input.mp4 -i watermark.png -filter_complex ""overlay=W-w-10:H-h-10"" output.mp4
"
How do I add a text watermark instead of an image with Ffmpeg?,"ffmpeg -i input.mp4 -vf ""drawtext=text='Sample Watermark':x=10:y=H-th-10:fontcolor=white:fontsize=24:alpha=0.5"" output.mp4
"
Can I apply color correction to a video in FFmpeg?,ffmpeg -i input.mp4 -vf eq=brightness=0.1:contrast=1.2:saturation=1.3 output.mp4
How do I adjust the brightness and contrast of a video using Ffmpeg?,"ffmpeg -i input.mp4 -vf ""eq=brightness=0.1:contrast=1.5"" output.mp4
"
Can I change the gamma of a video with Ffmpeg?,"ffmpeg -i input.mp4 -vf ""eq=gamma=0.8"" output.mp4
"
How do I apply color balance or color channel adjustments in Ffmpeg?,"ffmpeg -i input.mp4 -vf ""colorbalance=rs=0.3:gs=0.1:bs=-0.2"" output.mp4
"
How do I adjust the brightness and contrast in FFmpeg?,ffmpeg -i input.mp4 -vf eq=brightness=0.1:contrast=1.2 output.mp4
How can I decrease brightness and increase contrast with Ffmpeg?,"ffmpeg -i input.mp4 -vf ""eq=brightness=-0.1:contrast=2.0"" output.mp4
"
Can I adjust brightness and contrast with separate filters in Ffmpeg?,"ffmpeg -i input.mp4 -vf ""eq=brightness=0.05:contrast=1.2"" output.mp4
"
How do I preview brightness and contrast changes without re-encoding using Ffmpeg?,"ffmpeg -i input.mp4 -vf ""eq=brightness=0.1:contrast=1.5"" -c:v libx264 -preset ultrafast output.mp4
"
How do I add subtitles to a video using FFmpeg?,ffmpeg -i input.mp4 -vf subtitles=subtitle.srt output.mp4
How do I add subtitles as a separate selectable stream (soft subtitles) in Ffmpeg?,"ffmpeg -i input.mp4 -i subtitles.srt -c copy -c:s mov_text output.mp4
"
 Can I change the font or style of hardcoded subtitles in Ffmpeg?,"ffmpeg -i input.mp4 -vf ""subtitles=subtitle_file.ass:force_style='FontName=Arial,FontSize=24'"" output.mp4
"
How do I extract subtitles from a video file with Ffmpeg?,"ffmpeg -i input.mkv -map 0:s:0 subtitles.srt
"
Can I apply a blur effect to a video with FFmpeg?,"ffmpeg -i input.mp4 -vf ""boxblur=10:10"" output.mp4"
How do I apply a Gaussian blur to a video in Ffmpeg?,"ffmpeg -i input.mp4 -vf ""gblur=sigma=10"" output.mp4
"
Can I blur only a part of the video frame with Ffmpeg?,"ffmpeg -i input.mp4 -filter_complex ""[0:v]crop=200:200:100:100,boxblur=10[blurred];[0:v][blurred]overlay=100:100"" output.mp4
"
How can I blur the background but keep the subject sharp using Ffmpeg?,"ffmpeg -i input.mp4 -i mask.mp4 -filter_complex ""[0:v]boxblur=10[blurred];[blurred][1:v]alphamerge[bg];[0:v][bg]overlay"" output.mp4
"
How can I sharpen a video using FFmpeg?,ffmpeg -i input.mp4 -vf unsharp output.mp4
How do I apply a subtle sharpening effect with Ffmpeg?,"ffmpeg -i input.mp4 -vf ""unsharp=3:3:0.5:3:3:0.0"" output.mp4
"
Can I sharpen only the luminance channel of a video using Ffmpeg?,"ffmpeg -i input.mp4 -vf ""unsharp=luma_msize_x=7:luma_msize_y=7:luma_amount=1.5"" output.mp4
"
How do I combine sharpening and denoising filters in Ffmpeg?,"ffmpeg -i input.mp4 -vf ""hqdn3d,unsharp=5:5:1.0:5:5:0.0"" output.mp4
"
How do I add transitions between clips in FFmpeg?,"Combine clips with fades:

ffmpeg -i clip1.mp4 -i clip2.mp4 -filter_complex ""[0:v]fade=out:30:"
How can I create a wipe transition between two videos using Ffmpeg?,"ffmpeg -i clip1.mp4 -i clip2.mp4 -filter_complex \
""[0:v][1:v]xfade=transition=wipeleft:duration=1:offset=4"" \
-c:v libx264 -crf 18 -preset veryfast output.mp4
"
Can I create a slide transition between clips with Ffmpeg?,"ffmpeg -i clip1.mp4 -i clip2.mp4 -filter_complex \
""[0:v][1:v]xfade=transition=slideleft:duration=1:offset=4"" \
-c:v libx264 -crf 18 -preset veryfast output.mp4
"
How do I concatenate two clips with a dissolve transition in Ffmpeg?,"ffmpeg -i clip1.mp4 -i clip2.mp4 -filter_complex \
""[0:v][1:v]xfade=transition=dissolve:duration=1:offset=4"" \
-c:v libx264 -crf 18 -preset veryfast output.mp4
"
How do I apply a LUT to a video in FFmpeg?,ffmpeg -i input.mp4 -vf lut3d=file.cube output.mp4
"Can I apply a 1D LUT (e.g., for gamma correction) using Ffmpeg?","ffmpeg -i input.mp4 -vf ""lut=r='val*1.1':g='val*1.1':b='val*1.1'"" output.mp4"
How do I convert a video’s color space using Ffmpeg?,"ffmpeg -i input.mp4 -vf ""format=yuv420p,colorspace=all=bt601:iall=bt709"" output.mp4
"
How do I preview a LUT effect before applying it permanently with Ffmpeg?,"ffmpeg -i input.mp4 -vf ""lut3d=file.cube"" -t 10 preview.mp4
"
How do I convert an MP3 file to WAV using FFmpeg?,ffmpeg -i input.mp3 output.wav
How do I convert a WAV file to MP3 with Ffmpeg?,"ffmpeg -i input.wav -codec:a libmp3lame -qscale:a 2 output.mp3
"
Can I convert FLAC to WAV using Ffmpeg?,ffmpeg -i input.flac output.wav
How do I convert an audio file to OGG format using Ffmpeg?,"ffmpeg -i input.mp3 -codec:a libvorbis -qscale:a 5 output.ogg
"
Can FFmpeg convert FLAC to AAC?,ffmpeg -i input.flac -c:a aac output.m4a
How do I convert MP3 to AAC with Ffmpeg?,ffmpeg -i input.mp3 -c:a aac -b:a 256k output.aac
Can FFmpeg convert WAV files to AAC format?,"ffmpeg -i input.wav -c:a aac -b:a 128k output.aac
"
How do I convert an audio file to AAC in an MP4 container using Ffmpeg?,"ffmpeg -i input.mp3 -c:a aac -b:a 192k output.mp4
"
How can I extract audio from a video file using FFmpeg?,ffmpeg -i input.mp4 -q:a 0 -map a output.mp3
How do I extract MP3 audio from an MP4 video using Ffmpeg?,ffmpeg -i input.mp4 -vn -acodec mp3 output.mp3
Can I extract audio and convert it to WAV format with Ffmpeg?,"ffmpeg -i input.mov -vn -acodec pcm_s16le output.wav
"
How do I extract audio from a video and save it as an AAC file?,"ffmpeg -i input.mkv -vn -c:a copy output.aac
"
How do I change the codec of an audio file in FFmpeg?,ffmpeg -i input.wav -c:a libmp3lame output.mp3
How do I convert an audio file to MP3 codec using Ffmpeg?,ffmpeg -i input.flac -c:a libmp3lame -b:a 192k output.mp3
Can I convert an audio file to Opus codec with Ffmpeg?,"ffmpeg -i input.wav -c:a libopus -b:a 128k output.opus
"
How do I convert audio to AC3 codec for compatibility with DVDs?,"ffmpeg -i input.mp3 -c:a ac3 -b:a 384k output.ac3
"
How do I adjust the volume of an audio file in FFmpeg?,"ffmpeg -i input.mp3 -filter:a ""volume=1.5"" output.mp3"
How can I reduce the volume of an audio file by half in FFmpeg?,"ffmpeg -i input.wav -af ""volume=0.5"" output.wav
"
 Can I increase volume by 10 dB in Ffmpeg?,"ffmpeg -i input.aac -af ""volume=10dB"" output.aac
"
How do I normalize audio volume using Ffmpeg?,"ffmpeg -i input.mp3 -af ""loudnorm"" output.mp3
"
How do I change the speed of an audio file in FFmpeg?,"ffmpeg -i input.mp3 -filter:a ""atempo=1.5"" output.mp3"
How do I slow down audio to half speed using Ffmpeg?,"ffmpeg -i input.wav -filter:a ""atempo=0.5"" output.wav
"
Can I change audio speed by 1.5x with Ffmpeg?,"ffmpeg -i input.aac -filter:a ""atempo=1.5"" output.aac
"
How do I change the pitch along with speed in Ffmpeg?,"ffmpeg -i input.mp3 -filter:a ""asetrate=44100*1.25,aresample=44100"" output.mp3
"
How do I modify the sample rate of an audio file in FFmpeg?,ffmpeg -i input.wav -ar 44100 output.wav
How do I convert an audio file to 48 kHz sample rate with Ffmpeg?,"ffmpeg -i input.mp3 -ar 48000 output.wav
"
Can I downsample audio to 16 kHz using Ffmpeg?,"ffmpeg -i input.flac -ar 16000 output.flac
"
How do I check the sample rate of an audio file with Ffmpeg?,"ffmpeg -i input.aac
"
Can I change the number of channels in an audio file with FFmpeg?,ffmpeg -i input.wav -ac 2 output.wav
 How do I convert a mono audio file to stereo with Ffmpeg?,"ffmpeg -i input.wav -ac 2 output.wav
"
Can I extract just the left or right audio channel using Ffmpeg?,"ffmpeg -i input.mp3 -map_channel 0.0.0 output_left.wav
"
How do I convert a 5.1 surround audio to stereo in Ffmpeg?,ffmpeg -i input_surround.wav -ac 2 output_stereo.wav
How can I normalize audio in FFmpeg?,ffmpeg -i input.wav -filter:a loudnorm output.wav
How do I perform peak normalization on audio with Ffmpeg?,"ffmpeg -i input.mp3 -af ""volume=replaygain=track"" output.mp3
"
Can I normalize audio loudness to -23 LUFS using Ffmpeg?,"ffmpeg -i input.wav -af loudnorm=I=-23:TP=-2:LRA=11 output.wav
"
How do I analyze loudness without modifying audio in Ffmpeg?,"ffmpeg -i input.wav -af loudnorm=print_format=summary -f null -
"
How do I remove silence from an audio file using FFmpeg?,ffmpeg -i input.wav -af silenceremove=1:0:-50dB output.wav
How do I remove silence only at the beginning of an audio file with Ffmpeg?,"ffmpeg -i input.mp3 -af silenceremove=start_periods=1:start_duration=0.5:start_threshold=-40dB output.mp3
"
Can I remove silence from both start and end of an audio file using Ffmpeg?,"ffmpeg -i input.wav -af silenceremove=start_periods=1:start_duration=0.5:start_threshold=-40dB:stop_periods=1:stop_duration=0.5:stop_threshold=-40dB output.wav
"
How to detect and remove silence within an audio file (not just start/end) using Ffmpeg?,"ffmpeg -i input.wav -af silencedetect=n=-40dB:d=0.5 -f null -
"
How do I add a fade-in effect to an audio file using FFmpeg?,"ffmpeg -i input.mp3 -af ""afade=t=in:st=0:d=5"" output.mp3"
How do I add a fade-out effect to an audio file with Ffmpeg?,"ffmpeg -i input.wav -af ""afade=t=out:st=25:d=5"" output.wav
"
Can I add both fade-in and fade-out effects to audio using Ffmpeg?,"ffmpeg -i input.aac -af ""afade=t=in:ss=0:d=3,afade=t=out:st=27:d=3"" output.aac
"
How do I fade audio over the entire duration with Ffmpeg?,"ffmpeg -i input.mp3 -af ""afade=t=in:ss=0:d=3,afade=t=out:st=27:d=3"" output.mp3
"
How can I apply an echo effect to an audio file in FFmpeg?,"ffmpeg -i input.mp3 -af ""aecho=0.8:0.88:60:0.4"" output.mp3"
How do I create a longer echo effect in Ffmpeg?,"ffmpeg -i input.mp3 -af ""aecho=0.6:0.7:2000:0.5"" output.mp3
"
Can I add multiple echoes to audio with Ffmpeg?,"ffmpeg -i input.wav -af ""aecho=0.8:0.9:500|1000:0.4|0.3"" output.wav
"
How do I add a subtle echo effect to voice audio using Ffmpeg?,"ffmpeg -i voice.wav -af ""aecho=0.5:0.5:200:0.2"" output.wav
"
Can FFmpeg apply noise reduction to audio files?,ffmpeg -i noisy_input.wav -af afftdn output.wav
How do I apply stronger noise reduction with Ffmpeg?,"ffmpeg -i input.wav -af afftdn=nr=20 output.wav
"
Can I use FFmpeg to reduce hiss or background noise in recordings?,"ffmpeg -i recording.wav -af afftdn output.wav
"
How do I apply noise reduction to audio in FFmpeg using a noise profile?,"FFmpeg itself doesn’t support noise profiling like specialized tools (e.g., Audacity), but you can chain filters or use third-party plugins with FFmpeg for advanced noise profiling."
How do I compress audio using FFmpeg?,ffmpeg -i input.mp3 -b:a 128k output.mp3
How do I reduce the size of an audio file using Ffmpeg?,"ffmpeg -i input.flac -b:a 96k output.aac
"
Can I compress audio while keeping the same format in Ffmpeg?,"ffmpeg -i input.mp3 -b:a 64k output.mp3
"
How do I use variable bitrate (VBR) compression for audio in Ffmpeg?,"ffmpeg -i input.wav -codec:a libmp3lame -qscale:a 2 output.mp3
"
How do I equalize audio in FFmpeg?,"ffmpeg -i input.wav -af ""equalizer=f=1000:t=q:w=1:g=5"" output.wav"
How do I cut (reduce) bass frequencies using FFmpeg equalizer?,"ffmpeg -i input.mp3 -af ""equalizer=f=100:t=q:w=1:g=-8"" output.mp3
"
Can I boost treble frequencies with FFmpeg equalizer?,"ffmpeg -i input.wav -af ""equalizer=f=8000:t=q:w=1:g=6"" output.wav
"
How do I apply multiple equalizer filters to shape the audio?,"ffmpeg -i input.wav -af ""equalizer=f=100:t=q:w=1:g=-5,equalizer=f=3000:t=q:w=1:g=4"" output.wav
"
How can I stream a video to YouTube using FFmpeg?,"ffmpeg -re -i input.mp4 -c:v libx264 -b:v 2500k -c:a aac -ar 44100 -b:a 128k -f flv rtmp://a.rtmp.youtube.com/live2/your-stream-key

Replace your-stream-key with the key provided by YouTube."
How do I stream my desktop screen to YouTube with Ffmpeg?,"ffmpeg -f x11grab -s 1920x1080 -i :0.0 -c:v libx264 -preset veryfast -maxrate 3000k -bufsize 6000k -pix_fmt yuv420p -g 50 -c:a aac -b:a 160k -ar 44100 -f flv rtmp://a.rtmp.youtube.com/live2/your-stream-key
"
Can I stream webcam video to YouTube using Ffmpeg?,"ffmpeg -f v4l2 -i /dev/video0 -f alsa -i hw:0 -c:v libx264 -preset veryfast -maxrate 2500k -bufsize 5000k -pix_fmt yuv420p -g 50 -c:a aac -b:a 128k -ar 44100 -f flv rtmp://a.rtmp.youtube.com/live2/your-stream-key
"
How do I stream a playlist or live stream to YouTube with Ffmpeg?,"ffmpeg -re -i playlist.m3u8 -c:v libx264 -preset veryfast -c:a aac -f flv rtmp://a.rtmp.youtube.com/live2/your-stream-key
"
How do I capture live streams with FFmpeg?,ffmpeg -i http://example.com/stream.m3u8 -c copy output.ts
How do I record an RTMP live stream using Ffmpeg?,"ffmpeg -i rtmp://live.example.com/app/streamkey -c copy -t 3600 output.flv
"
Can FFmpeg record live streams and convert them to MP4 at the same time?,"ffmpeg -i https://example.com/live/stream.m3u8 -c:v libx264 -c:a aac output.mp4
"
How can I capture live streams and split output files every 10 minutes?,"ffmpeg -i https://example.com/live/stream.m3u8 -c copy -f segment -segment_time 600 -reset_timestamps 1 output%03d.ts
"
How do I create an HLS stream with FFmpeg?,ffmpeg -i input.mp4 -codec: copy -start_number 0 -hls_time 10 -hls_list_size 0 -f hls stream.m3u8
How do I create multiple bitrate HLS streams (adaptive streaming) with Ffmpeg?,"ffmpeg -i input.mp4 \
  -filter:v:0 scale=w=1920:h=1080 -b:v:0 5000k \
  -filter:v:1 scale=w=1280:h=720  -b:v:1 3000k \
  -filter:v:2 scale=w=854:h=480   -b:v:2 1500k \
  -map 0:v -map 0:a -map 0:v -map 0:a -map 0:v -map 0:a \
  -f hls \
  -hls_time 6 \
  -hls_list_size 0 \
  -master_pl_name master.m3u8 \
  -var_stream_map ""v:0,a:0 v:1,a:1 v:2,a:2"" \
  stream_%v.m3u8
"
How can I customize the segment filename pattern in FFmpeg HLS output?,"ffmpeg -i input.mp4 -codec: copy -hls_time 10 -hls_segment_filename 'segment_%03d.ts' -f hls playlist.m3u8
"
How do I set encryption for HLS streams with Ffmpeg?,"ffmpeg -i input.mp4 -hls_time 10 -hls_key_info_file key_info.txt -f hls output.m3u8
"
Can I stream using adaptive bitrate with FFmpeg?,"Yes, generate multiple bitrate versions and an HLS master playlist:

ffmpeg -i input.mp4 -vf scale=1280:720 -c:v libx264 -b:v 3000k -hls_segment_filename 720p_%03d.ts 720p.m3u8
ffmpeg -i input.mp4 -vf scale=854:480 -c:v libx264 -b:v 1500k -hls_segment_filename 480p_%03d.ts 480p.m3u8
# Combine in a master playlist manually"
How do I create adaptive bitrate DASH streams with Ffmpeg?,"ffmpeg -i input.mp4 \
  -map 0:v -map 0:a \
  -b:v:0 5000k -s:v:0 1920x1080 \
  -b:v:1 3000k -s:v:1 1280x720 \
  -b:v:2 1500k -s:v:2 854x480 \
  -f dash output.mpd
"
